,Kod TERC,Kod TERC (GUS),Kod TERC-woj (GUS),Województwo,Kod TERC-pow (GUS),Powiat,Kod TERC-gmi,Kod TERC-gmi-rodz,Gmina,Kod TERC-gmi (GUS),Kod TERC-gmi-rodz (GUS),Gmina (GUS),Kod SIMC,Kod SIMC podstawowa,Rodzaj miejscowości,Miejscowość,Kod SIMC (GUS),Kod SIMC podstawowa (GUS),Rodzaj miejscowości (GUS),Miejscowość (GUS),Kod ULIC (GUS),Ulica (cecha),Ulica (nazwa),Numeracja nieparzysta (od),Numeracja nieparzysta (do),Numeracja parzysta (od),Numeracja parzysta (do),Kod pocztowy (PNA)
190987,206011,206011,2,DOLNOŚLĄSKIE,6,karkonoski,1,1,Karpacz,1,1,Karpacz,936032,936032,96,Karpacz,936032,936032,96,Karpacz,17011.0,ul.,Polna,1,-1,2,-1,58-540
204314,222014,222014,2,DOLNOŚLĄSKIE,22,wołowski,1,4,Brzeg Dolny,1,4,Brzeg Dolny,987064,987064,96,Brzeg Dolny,987064,987064,96,Brzeg Dolny,12189.0,ul.,Małopolska,1,-1,2,-1,56-120
345042,417032,417032,4,KUJAWSKO-POMORSKIE,17,wąbrzeski,3,2,Książki,3,2,Książki,1032031,845520,0,Na Torfniakach,1032031,845520,0,Na Torfniakach,,,,1,-1,2,-1,87-222
392542,2011085,2011085,20,PODLASKIE,11,sokólski,8,5,Sokółka,8,5,Sokółka,40442,40442,2,Tatarszczyzna,40442,40442,2,Tatarszczyzna,,,,1,-1,2,-1,16-100
174882,2801065,2801065,28,WARMIŃSKO-MAZURSKIE,1,bartoszycki,6,5,Sępopol,6,5,Sępopol,487410,487410,4,Łoskajmy,487410,487410,4,Łoskajmy,,,,1,-1,2,-1,11-210
127427,2204032,2204032,22,POMORSKIE,4,gdański,3,2,Kolbudy,3,2,Kolbudy,164010,164010,4,Bąkowo,164010,164010,4,Bąkowo,40896.0,ul.,Pogodnych Poranków,1,-1,2,-1,83-050
233939,2469011,2469011,24,ŚLĄSKIE,69,Katowice,1,1,Katowice,1,1,Katowice,937474,937474,96,Katowice,937474,937474,96,Katowice,23795.0,ul.,Wąska,1,-1,2,-1,40-750
359789,1816052,1816052,18,PODKARPACKIE,16,rzeszowski,5,2,Dynów,5,2,Dynów,601969,601768,0,Widłakówka,601969,601768,0,Widłakówka,,,,1,-1,2,-1,36-065
330778,403062,403062,4,KUJAWSKO-POMORSKIE,3,bydgoski,6,2,Osielsko,6,2,Osielsko,93600,93600,1,Osielsko,93600,93600,1,Osielsko,22163.0,ul.,Szuwarowa,1,-1,2,-1,86-031
8121,1061011,1061029,10,ŁÓDZKIE,61,Łódź,1,1,Łódź,2,9,Łódź-Bałuty,957650,957650,96,Łódź,957666,957666,98,Łódź-Bałuty,2294.0,ul.,ks. Stanisława Brzóski,-1,-1,30,48,91-321
356999,1813012,1813012,18,PODKARPACKIE,13,przemyski,1,2,Bircza,1,2,Bircza,598990,598990,1,Bircza,598990,598990,1,Bircza,33663.0,ul.,J. Piłsudskiego,1,-1,2,-1,37-740
57379,1263011,1263011,12,MAŁOPOLSKIE,63,Tarnów,1,1,Tarnów,1,1,Tarnów,981570,981570,96,Tarnów,981570,981570,96,Tarnów,12426.0,ul.,Marynarki Wojennej,5,5,-1,-1,33-107
135706,2207011,2207011,22,POMORSKIE,7,kwidzyński,1,1,Kwidzyn,1,1,Kwidzyn,932790,932790,96,Kwidzyn,932790,932790,96,Kwidzyn,569.0,ul.,Krzysztofa Kamila Baczyńskiego,1,-1,2,-1,82-500
47740,1211062,1211062,12,MAŁOPOLSKIE,11,nowotarski,6,2,Krościenko nad Dunajcem,6,2,Krościenko nad Dunajcem,436536,436536,1,Grywałd,436536,436536,1,Grywałd,7123.0,ul.,Jana Pawła II,1,-1,2,-1,34-450
200749,219064,219064,2,DOLNOŚLĄSKIE,19,świdnicki,6,4,Strzegom,6,4,Strzegom,984551,984551,96,Strzegom,984551,984551,96,Strzegom,2387.0,ul.,Bukowa,1,-1,2,-1,58-150
